,CTYNAME,pop2021,GrowthRate,popDensity
0,Alameda,1680480,11.0701,2273.707
1,Alpine,1209,4.1344,1.6358
2,Amador,40446,6.7571,54.7239
3,Butte,196880,-10.4883,266.3807
4,Calaveras,46319,1.8716,62.6701
5,Colusa,21805,1.7167,29.5024
6,Contra Costa,1159540,10.1659,1568.8697
7,Del Norte,27956,-2.1354,37.8248
8,El Dorado,197037,8.7785,266.5931
9,Fresno,1013400,8.7294,1371.1408
10,Glenn,29245,3.9748,39.5688
11,Humboldt,134186,-0.6096,181.5551
12,Imperial,180599,3.3672,244.3523
13,Inyo,18225,-1.545,24.6586
14,Kern,913090,8.5725,1235.4203
15,Kings,156056,2.4191,211.1454
16,Lake,64524,-0.3259,87.3016
17,Lassen,30483,-12.4831,41.2438
18,Los Angeles,9969510,1.4889,13488.8513
19,Madera,158217,4.7892,214.0693
20,Marin,257154,1.6805,347.9321
21,Mariposa,16799,-8.0867,22.7292
22,Mendocino,85445,-2.6811,115.608
23,Merced,284738,10.9134,385.2535
24,Modoc,8923,-7.9534,12.0729
25,Mono,14526,1.8868,19.6538
26,Monterey,434283,4.3014,587.5894
27,Napa,135654,-0.808,183.5413
28,Nevada,100249,1.4769,135.6379
29,Orange,3175130,5.3052,4295.9841
30,Placer,410327,17.2293,555.1767
31,Plumas,18939,-4.8961,25.6247
32,Riverside,2520060,14.466,3409.6675
33,Sacramento,1578680,11.0667,2135.9706
34,San Benito,65490,17.966,88.6087
35,San Bernardino,2206750,8.129,2985.7558
36,San Diego,3347270,7.8648,4528.8913
37,San Francisco,883255,9.6523,1195.0533
38,San Joaquin,781462,13.7289,1057.3263
39,San Luis Obispo,282625,4.7527,382.3946
40,San Mateo,762357,5.9272,1031.477
41,Santa Barbara,447937,5.588,606.0634
42,Santa Clara,1918880,7.4377,2596.2647
43,Santa Cruz,271957,3.3479,367.9607
44,Shasta,180822,2.0014,244.6541
45,Sierra,3021,-6.1801,4.0874
46,Siskiyou,43517,-3.1621,58.879
47,Solano,451479,9.0616,610.8558
48,Sonoma,485722,0.1995,657.1869
49,Stanislaus,555728,7.878,751.9058
50,Sutter,98217,3.658,132.8886
51,Tehama,67216,5.7537,90.944
52,Trinity,11721,-14.7874,15.8586
53,Tulare,469407,5.9684,635.1126
54,Tuolumne,54660,-0.9603,73.9556
55,Ventura,841734,2.0164,1138.8749
56,Yolo,221264,10.0416,299.3725
57,Yuba,80890,11.8068,109.445
